neighborhood,building_id,algorithm,distance_meters,time_minutes,time_seconds,num_traffic_signals,num_crossings,safety_penalties,total_cost,detour_factor,straight_line_distance,num_path_nodes,avg_walking_speed_kmh,signal_density_per_100m,nodes_expanded_forward,nodes_expanded_backward,edges_scanned_forward,edges_scanned_backward,expansions_total,edges_scanned_total
neighborhoodOldV,361968022,few_traffic_lights path,1655.8831962125066,20.020887408876415,1201.2532445325849,0,0,5240.0,579.5591186743775,1.6586963815154592,998.3039781515757,71,4.962466934842333,0.0,59,326,139,846,385,985
neighborhoodOldV,361968022,safest path,1707.8432726197777,22.982847116287914,1378.9708269772748,5,0,3460.0,5167.843272619776,1.7107447330641312,998.3039781515757,48,4.458568420122583,0.2927669113530633,65,734,143,1840,799,1983
neighborhoodOldV,361968022,fastest path,1655.8831962125066,20.020887408876415,1201.2532445325849,0,0,5240.0,1201.2532445325849,1.6586963815154592,998.3039781515757,71,4.962466934842333,0.0,77,352,177,913,429,1090
neighborhoodOldV,361968023,shortest path,1381.7127831132557,17.060446680225525,1023.6268008135314,0,0,4600.0,1381.7127831132557,1.534967158042965,900.1578801691733,59,4.859355006389519,0.0,175,215,434,563,390,997
neighborhoodOldV,361968023,few_traffic_lights path,1381.7127831132557,17.060446680225525,1023.6268008135314,0,0,4600.0,483.59947408963933,1.534967158042965,900.1578801691733,59,4.859355006389519,0.0,177,246,437,638,423,1075
neighborhoodOldV,361968023,safest path,1424.913052368236,17.429133362161053,1045.7480017296632,0,1,3460.0,4884.913052368237,1.5829590383638499,900.1578801691733,63,4.9052802205131325,0.0,59,602,132,1523,661,1655
neighborhoodOldV,361968023,fastest path,1383.6183436526023,16.891066352178843,1013.4639811307305,0,0,5240.0,1013.4639811307305,1.5370840761762468,900.1578801691733,67,4.91485255508735,0.0,181,265,443,697,446,1140
neighborhoodOldV,361968024,shortest path,1492.203777761648,18.168993849805336,1090.13963098832,0,0,5050.0,1492.203777761648,1.5728954169518665,948.6986621484398,70,4.927748195955174,0.0,116,232,288,601,348,889
neighborhoodOldV,361968024,few_traffic_lights path,1490.9129077086748,18.315960518940493,1098.9576311364297,0,0,4600.0,521.8195176980363,1.5715347424780035,948.6986621484398,61,4.883979432583702,0.0,90,255,224,659,345,883
neighborhoodOldV,361968024,safest path,1534.1131769636552,18.684647200876025,1121.0788320525614,0,1,3460.0,4994.113176963656,1.6170710871347445,948.6986621484398,65,4.926332813685865,0.0,62,673,138,1698,735,1836
neighborhoodOldV,361968024,fastest path,1490.9129077086748,18.315960518940493,1098.9576311364297,0,0,4600.0,1098.9576311364297,1.5715347424780035,948.6986621484398,61,4.883979432583702,0.0,107,275,263,726,382,989
neighborhoodOldV,361968025,shortest path,1492.203777761648,18.168993849805336,1090.13963098832,0,0,5050.0,1492.203777761648,1.5728954169518665,948.6986621484398,70,4.927748195955174,0.0,116,232,288,601,348,889
neighborhoodOldV,361968025,few_traffic_lights path,1490.9129077086748,18.315960518940493,1098.9576311364297,0,0,4600.0,521.8195176980363,1.5715347424780035,948.6986621484398,61,4.883979432583702,0.0,90,255,224,659,345,883
neighborhoodOldV,361968025,safest path,1534.1131769636552,18.684647200876025,1121.0788320525614,0,1,3460.0,4994.113176963656,1.6170710871347445,948.6986621484398,65,4.926332813685865,0.0,62,673,138,1698,735,1836
neighborhoodOldV,361968025,fastest path,1490.9129077086748,18.315960518940493,1098.9576311364297,0,0,4600.0,1098.9576311364297,1.5715347424780035,948.6986621484398,61,4.883979432583702,0.0,107,275,263,726,382,989
neighborhoodOldV,361968026,shortest path,1419.2084313449132,17.329966879498034,1039.798012769882,0,0,5050.0,1419.2084313449132,1.6196606533982012,876.2381356658135,69,4.91359888179782,0.0,114,231,284,599,345,883
neighborhoodOldV,361968026,few_traffic_lights path,1417.9175612919398,17.476933548633195,1048.6160129179916,0,0,4600.0,496.2711464521788,1.6181874579272093,876.2381356658135,60,4.867847865918663,0.0,107,260,265,675,367,940
neighborhoodOldV,361968026,safest path,1461.1178305469202,17.845620230568723,1070.7372138341234,0,1,3460.0,4921.117830546921,1.6674894313252906,876.2381356658135,64,4.912525801857286,0.0,61,670,135,1688,731,1823
neighborhoodOldV,361968026,fastest path,1419.8231218312862,17.30755322058651,1038.4531932351906,0,0,5240.0,1038.4531932351906,1.620362164164913,876.2381356658135,68,4.922093043663067,0.0,102,272,255,719,374,974
neighborhoodOldV,361968028,shortest path,1381.7127831132557,17.060446680225525,1023.6268008135314,0,0,4600.0,1381.7127831132557,1.534967158042965,900.1578801691733,59,4.859355006389519,0.0,175,215,434,563,390,997
neighborhoodOldV,361968028,few_traffic_lights path,1381.7127831132557,17.060446680225525,1023.6268008135314,0,0,4600.0,483.59947408963933,1.534967158042965,900.1578801691733,59,4.859355006389519,0.0,177,246,437,638,423,1075
neighborhoodOldV,361968028,safest path,1424.913052368236,17.429133362161053,1045.7480017296632,0,1,3460.0,4884.913052368237,1.5829590383638499,900.1578801691733,63,4.9052802205131325,0.0,59,602,132,1523,661,1655
neighborhoodOldV,361968028,fastest path,1383.6183436526023,16.891066352178843,1013.4639811307305,0,0,5240.0,1013.4639811307305,1.5370840761762468,900.1578801691733,67,4.91485255508735,0.0,181,265,443,697,446,1140
neighborhoodOldV,361968029,shortest path,1341.411687519418,16.562902290178144,993.7741374106886,0,0,4510.0,1341.411687519418,1.5068135735454868,890.2306901597102,58,4.859335630983755,0.0,180,193,446,507,373,953
neighborhoodOldV,361968029,few_traffic_lights path,1341.411687519418,16.562902290178144,993.7741374106886,0,0,4510.0,469.4940906317961,1.5068135735454868,890.2306901597102,58,4.859335630983755,0.0,179,210,442,552,389,994
neighborhoodOldV,361968029,safest path,1384.6119567743983,16.931588972113673,1015.8953383268204,0,1,3370.0,4754.611956774399,1.5553406235927392,890.2306901597102,62,4.906610805594871,0.0,60,589,135,1485,649,1620
neighborhoodOldV,361968029,fastest path,1343.3172480587643,16.39352196213146,983.6113177278876,0,0,5150.0,983.6113177278876,1.5089540979740532,890.2306901597102,66,4.91651733347521,0.0,188,237,463,625,425,1088
